user_id,chat_id,language,number_messages,handling_time,start_time,website,website_summary
User 1519,14139,English,12,684.0,2018-06-21 05:10:30.010937,Website A,Website A
User 1519,14140,English,3,262.0,2018-06-21 06:58:59.126511,Website A,Website A
User 1519,14141,English,26,803.0,2018-06-21 07:10:27.033054,Website A,Website A
User 1519,14142,English,8,604.0,2018-06-21 06:27:10.968029,Website A,Website A
User 1519,14143,English,55,2829.0,2018-06-21 05:59:53.313575,Website A,Website A
User 1445,14144,English,19,724.0,2018-06-21 06:12:12.556858,Website A,Website A
User 1519,14145,English,27,1002.0,2018-06-21 05:41:51.684515,Website A,Website A
User 1519,14146,English,12,689.0,2018-06-21 05:51:29.212322,Website A,Website A
User 1519,14147,English,13,620.0,2018-06-21 06:48:31.124817,Website A,Website A
User 1519,14148,English,31,814.0,2018-06-21 07:00:41.418278,Website A,Website A
User 1519,14149,English,12,615.0,2018-06-21 07:31:04.021614,Website A,Website A
User 1519,14150,English,25,1021.0,2018-06-21 06:48:59.494078,Website A,Website A
User 1519,14151,English,9,657.0,2018-06-21 06:12:56.008556,Website A,Website A
User 1519,14152,English,50,1903.0,2018-06-21 06:59:07.686405,Website A,Website A
User 1519,14153,English,18,1175.0,2018-06-21 07:13:48.036991,Website A,Website A
User 1519,14156,English,9,491.0,2018-06-21 07:06:51.509444,Website A,Website A
User 1519,14157,English,9,443.0,2018-06-21 08:13:01.167154,Website A,Website A
User 1519,14158,English,46,1434.0,2018-06-21 08:11:03.365849,Website A,Website A
User 1519,14159,English,23,1396.0,2018-06-21 08:07:05.221472,Website A,Website A
User 1519,14161,English,32,1328.0,2018-06-21 08:35:01.520806,Website A,Website A
User 1519,14162,English,6,315.0,2018-06-21 07:30:44.403238,Website A,Website A
User 1519,14164,English,23,1060.0,2018-06-21 07:51:54.911806,Website A,Website A
User 1441,14166,English,29,1782.0,2018-06-21 08:37:26.215413,Website A,Website A
User 1441,14167,English,4,858.0,2018-06-21 07:49:11.172886,Website A,Website A
User 1441,14168,English,29,1131.0,2018-06-21 07:34:17.397883,Website A,Website A
User 1519,14170,English,106,4144.0,2018-06-21 08:36:18.134035,Website A,Website A
User 1519,14171,English,25,842.0,2018-06-21 08:25:37.805851,Website A,Website A
User 1519,14172,English,30,1365.0,2018-06-21 08:00:02.395858,Website C,Website C
User 1441,14174,English,9,774.0,2018-06-21 07:45:16.310468,Website A,Website A
User 1519,14175,English,84,2941.0,2018-06-21 09:22:39.480127,Website G,Other
User 1441,14176,English,52,3517.0,2018-06-21 09:43:07.415249,Website A,Website A
User 1441,14179,English,9,733.0,2018-06-21 09:23:56.610484,Website A,Website A
User 1478,14181,Italian,4,424.0,2018-06-21 08:28:05.779552,Website A,Website A
User 1441,14186,English,8,1369.0,2018-06-21 08:03:20.831136,Website E,Other
User 1519,14187,English,61,2957.0,2018-06-21 09:01:02.769796,Website A,Website A
User 1441,14188,English,28,2605.0,2018-06-21 08:10:54.916152,Website A,Website A
User 1441,14190,English,76,2503.0,2018-06-21 09:53:36.418479,Website A,Website A
User 1478,14191,Italian,8,531.0,2018-06-21 08:17:26.578709,Website A,Website A
User 1529,14192,English,10,622.0,2018-06-21 09:26:21.863812,Website B,Website B
User 1529,14194,English,17,933.0,2018-06-21 08:14:14.310823,Website A,Website A
User 1478,14198,Italian,28,1400.0,2018-06-21 09:29:09.912909,Website A,Website A
User 1519,14199,English,19,429.0,2018-06-21 09:46:12.656983,Website A,Website A
User 1391,14201,English,8,571.0,2018-06-21 08:27:46.906406,Website A,Website A
User 1392,14202,English,14,568.0,2018-06-21 09:48:20.239197,Website A,Website A
User 1478,14203,Italian,28,1698.0,2018-06-21 08:54:38.787689,Website A,Website A
User 1497,14204,English,15,848.0,2018-06-21 10:09:31.091274,Website A,Website A
User 1391,14205,English,12,771.0,2018-06-21 09:31:21.854325,Website A,Website A
User 1478,14206,Italian,10,698.0,2018-06-21 08:29:38.145216,Website A,Website A
User 1529,14208,English,24,1136.0,2018-06-21 09:10:03.303582,Website A,Website A
User 1392,14209,English,26,1133.0,2018-06-21 08:49:01.867062,Website F,Other
User 1478,14211,Italian,8,440.0,2018-06-21 08:57:58.194290,Website A,Website A
User 1497,14212,English,10,335.0,2018-06-21 09:44:19.339237,Website A,Website A
User 1291,14213,Spanish,16,677.0,2018-06-21 09:13:31.053537,Website A,Website A
User 1391,14214,English,16,779.0,2018-06-21 09:02:01.618282,Website A,Website A
User 1497,14215,English,8,602.0,2018-06-21 10:19:11.828445,Website A,Website A
User 1497,14216,English,11,842.0,2018-06-21 09:25:09.771166,Website D,Website D
User 1529,14217,English,6,363.0,2018-06-21 09:55:41.537070,Website A,Website A
User 1391,14218,English,10,417.0,2018-06-21 09:00:47.150952,Website A,Website A
User 1392,14219,English,15,1048.0,2018-06-21 09:10:41.853791,Website C,Website C
User 1392,14221,English,58,1922.0,2018-06-21 09:24:01.282696,Website A,Website A
User 1497,14222,English,12,1382.0,2018-06-21 08:54:21.855614,Website B,Website B
User 1391,14223,English,8,464.0,2018-06-21 09:47:20.636713,Website C,Website C
User 1391,14224,English,7,554.0,2018-06-21 08:58:28.018263,Website D,Website D
